ncm;artigo;pagina;trecho
84399100;143;41;" 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90"
84622300;143;41;"CERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00"
84798999;143;41;" CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00"
90178090;143;41;"IA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00"
84123900;143;41;"TOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10"
84399910;143;41;"O XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90"
84622400;143;41;"NAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00"
84799090;143;41;"HOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00"
90221999;143;41;"MENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20"
84129080;143;41;"UIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90"
84399990;143;41;"- ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90"
84622500;143;41;"CA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00"
84803000;143;41;"S 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10"
